Mes,Posto,Região,Bandeira,GNV,Etanol,Gasolina Comum,Gasolina Aditivada,Diesel s-500,Diesel s-10
05-18,Posto Modelo,Bento Ferreira,Branca,,,,,,
05-18,Posto Thiago,Bento Ferreira,BR,,,,,,
05-18,Posto Beira Mar,Bento Ferreira,Shell,,3.369,4.329,4.499,,3.78
05-18,Posto Moscoso,Centro,Shell,,,4.4,4.75,,3.8
05-18,Posto Ouro Negro,Centro,BR,,,,,,
05-18,Posto Pio XII,Centro,Atlântica,,,4.29,4.29,,
05-18,Arara Azul Rede de Postos,Camburi,Shell,2.8,3.59,4.4,4.6,,3.8
05-18,Auto Posto Presidente,Camburi,BR,,,,,,
05-18,Posto Mata da Praia,Camburi,Shell,,,,,,
05-18,Posto Aerovix,Camburi,Ipiranga,2.79,3.99,4.59,4.69,,4.09
05-18,Posto Camburi do Gas ,Camburi,BR,,,,,,
05-18,Posto Maruípe,Maruípe,BR,,,,,,
05-18,Posto Eucalipto,Maruípe,BR,,,,,,
05-18,Posto Norte Sul,Maruípe,Ipiranga,,3.5,4.39,4.65,3.65,3.7
05-18,Arara Azul Rede de Postos,Maruípe,Shell,,,,,,
05-18,Posto Enseada,Praia do Canto,Ipiranga,,,4.6,4.66,,3.9
05-18,Posto Iate,Praia do Canto,Shell,,,,,,4.1
05-18,Posto Santo Antônio,Santo Antônio,Ale,,,4.5,,,3.46
05-18,Posto Apolo,São Pedro,Ale,,,,,,
06-18,Posto Modelo,Bento Ferreira,Branca,,,4.37,4.37,3.15,3.38
06-18,Posto Thiago,Bento Ferreira,BR,,3.55,4.4,4.6,,3.24
06-18,Posto Beira Mar,Bento Ferreira,Shell,,3.529,4.499,4.649,,3.31
06-18,Posto Moscoso,Centro,Shell,,,,,,
06-18,Posto Ouro Negro,Centro,BR,,3.599,4.379,4.699,,3.439
06-18,Posto Pio XII,Centro,Atlântica,,,4.37,4.37,,
06-18,Arara Azul Rede de Postos,Camburi,Shell,2.78,3.529,4.6,4.8,,3.31
06-18,Auto Posto Presidente,Camburi,BR,,,4.6,4.7,3.14,3.24
06-18,Posto Mata da Praia,Camburi,Shell,,,,,,
06-18,Posto Aerovix,Camburi,Ipiranga,2.79,3.89,4.59,4.69,,3.59
06-18,Posto Camburi do Gas ,Camburi,BR,,,,,,
06-18,Posto Maruípe,Maruípe,BR,,,4.4,4.7,3.14,3.24
